step,A,B,C,D,E,F,G,H,I,J
0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0,100000.0
1,110000.0,103000.0,84700.0,94900.0,104100.0,97000.0,91600.0,97100.0,91000.0,85600.0
2,139000.0,105500.0,90500.0,99300.0,100900.0,100100.0,86200.0,97700.0,114100.0,95400.0
3,169900.0,92700.0,151100.0,127300.0,118200.0,111000.0,102700.0,116800.0,147100.0,128100.0
4,167700.0,94400.0,163300.0,125900.0,109300.0,110500.0,96800.0,109300.0,154700.0,146900.0
5,158500.0,106600.0,163800.0,137300.0,97600.0,127200.0,94400.0,95400.0,145600.0,169400.0
6,191600.0,110400.0,236300.0,133300.0,100600.0,141000.0,102700.0,104100.0,297200.0,257500.0
7,224300.0,96300.0,211000.0,112400.0,89500.0,155800.0,85900.0,95100.0,256200.0,256600.0
8,201400.0,99500.0,206000.0,121000.0,93700.0,216900.0,87300.0,99700.0,256200.0,236700.0
9,230400.0,98800.0,222500.0,100700.0,90000.0,188100.0,83100.0,92300.0,271300.0,265400.0
